Subject_ID,Subject,Subject_type,Interaction_type,Object_ID,Object,Object_type,Disease
,Insulin,complex/PPI,decreases_phosphorylation of,2932,GSK3B,gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,decreases_activity of,207,AKT1,gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,decreases_phosphorylation of,207,AKT1,gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,decreases_activity of,5997,AKT1-PDPK1 complex,complex/PPI,Alzheimer disease
8660,IRS2-mut,gene/protein mutant,increases_activity of,MP:0000913,abnormal brain development,phenotype,Alzheimer disease
4137,MAPT-phos,protein modification,is localized in,MP:0003214,neurofibrillary tangles,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,increases_activity of,MP:0008415,abnormal neurite morphology,phenotype,Alzheimer disease
351,Amyloid beta peptide (25-35),gene/protein,increases_quantity of,351,APP,gene/protein,Alzheimer disease
,Insulin,complex/PPI,affects_activity of,GO:0007611,learning or memory,process,Alzheimer disease
C00031,Glucose,drug/chemical compound,affects_activity of,GO:0007611,learning or memory,process,Alzheimer disease
104300,Alzheimer disease,disease,decreases_activity of,GO:0007611,learning or memory,process,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,,decreased insulin sensitivity,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,MP:0000807,abnormal hippocampus morphology,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,MP:0000774,decreased brain size,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,MP:0003214,neurofibrillary tangles,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,MP:0001033,abnormal parasympathetic system morphology,phenotype,Alzheimer disease
D05932,Streptozocin,drug/chemical compound,decreases_activity of,,Insulin receptor,complex/PPI,Alzheimer disease
D05932,Streptozocin,drug/chemical compound,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
